family,dataset,concept,role,n,retention_rate,spearman_r,spearman_p,ci_lower,ci_upper,homeland_name
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),RICE,anchor,99,,-0.1813,0.0725,-0.3394,0.0240,Upper Yellow River basin
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),SALT,supplementary anchor,107,,-0.0817,0.4027,-0.2701,0.1010,Upper Yellow River basin
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),BARLEY,highland-adaptation anchor,61,,-0.1881,0.1466,-0.3310,-0.0457,Upper Yellow River basin
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),YAK,highland-adaptation anchor,41,,0.2488,0.1167,0.1204,0.4292,Upper Yellow River basin
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),MILLET,anchor (pre-registered positive prediction),70,,-0.1715,0.1558,-0.3311,0.0107,Upper Yellow River basin
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),TEA,later-stage cultural concept,82,,0.0428,0.7027,-0.1894,0.2575,Upper Yellow River basin
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),SILKWORM,Sinitic-core cultural concept,52,,0.1010,0.4763,-0.1067,0.3213,Upper Yellow River basin
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),HORSE,loan-suspect animal concept,107,,-0.0374,0.7022,-0.2319,0.1743,Upper Yellow River basin
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),WHEAT,loan-suspect crop concept,72,,0.2249,0.0575,0.0335,0.3893,Upper Yellow River basin
Bantu,Grollemund 2015,TREE,control,331,0.7251,-0.1312,0.0169,-0.2415,-0.0209,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund 2015,FIRE,control,333,0.2372,0.6542,0.0000,0.5912,0.7080,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund 2015,WATER,control,330,0.4182,0.6164,0.0000,0.5459,0.6795,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund 2015,STONE,control,326,0.3160,0.5432,0.0000,0.4647,0.6155,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),IRON,anchor-culture,231,0.3247,0.5826,0.0000,0.4974,0.6571,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),ELEPHANT,anchor-fauna,261,0.7203,-0.2363,0.0001,-0.3632,-0.1130,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),GOAT,anchor-subs,269,0.5762,0.3583,0.0000,0.2346,0.4518,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),SPEAR,culture,251,0.4343,-0.7820,0.0000,-0.8246,-0.7338,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),KNIFE,culture,252,0.1429,-0.2209,0.0004,-0.2966,-0.1392,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),HOUSE,culture,264,0.3409,0.6601,0.0000,0.5883,0.7235,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),VILLAGE,culture,247,0.2105,0.4993,0.0000,0.4099,0.5782,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),ROAD,culture,329,0.6596,0.0074,0.8942,-0.0991,0.1162,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),BED,culture,237,0.2025,0.3049,0.0000,0.2090,0.4037,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),SALT,culture,255,0.2941,0.5612,0.0000,0.4857,0.6386,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),WAR,culture,251,0.3665,-0.1556,0.0136,-0.2961,-0.0342,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),TREE,control,331,0.7251,-0.1312,0.0169,-0.2417,-0.0171,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),FIRE,control,333,0.2372,0.6542,0.0000,0.5901,0.7051,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),WATER,control,330,0.4182,0.6164,0.0000,0.5443,0.6761,Grassfields (Cameroon/Nigeria border)
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),STONE,control,326,0.3160,0.5432,0.0000,0.4605,0.6151,Grassfields (Cameroon/Nigeria border)
Uralic,uralex,FOREST,anchor,11,0.1818,0.2236,0.5086,-0.2427,0.6757,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,SNOW,anchor,18,0.7222,-0.2032,0.4187,-0.5716,0.2058,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,ICE,anchor,22,0.9091,-0.0997,0.6589,-0.5003,0.2998,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,TREE,anchor,22,0.6364,-0.4468,0.0371,-0.7756,-0.0589,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,FIRE,control,23,0.8261,0.2075,0.3421,-0.4027,0.6441,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,WATER,control,8,0.8750,0.5774,0.1340,0.5808,0.8885,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,STONE,control,23,0.4348,-0.1851,0.3978,-0.5622,0.2256,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,RIVER,control,23,0.7391,0.0746,0.7350,-0.4512,0.5889,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,SEA,control,4,0.5000,0.4472,0.5528,-1.0000,1.0000,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,MOUNTAIN,control,22,0.2727,0.5952,0.0035,0.3001,0.8565,Middle Volga / Kama (Uralic Urheimat)
Uralic,uralex,COLD,control,17,0.2941,0.5534,0.0212,0.1713,0.8695,Middle Volga / Kama (Uralic Urheimat)
Turkic,savelyevturkic,DOG,anchor_fallback,24,0.8333,-0.0323,0.8809,-0.5757,0.5108,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
Turkic,savelyevturkic,MOUNTAIN OR HILL,anchor_fallback,24,0.8333,0.0000,1.0000,-0.4475,0.4111,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
Turkic,savelyevturkic,TREE,control,24,0.7500,-0.4448,0.0294,-0.7381,0.0152,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
Turkic,savelyevturkic,LEFT,control,18,0.8333,-0.1580,0.5311,-0.5657,0.2738,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
Turkic,savelyevturkic,RIGHT,control,24,0.7500,-0.3614,0.0827,-0.6237,0.0000,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
Turkic,savelyevturkic,RIVER,control,22,0.4545,-0.3885,0.0740,-0.7245,0.0262,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
Turkic,savelyevturkic,COLD,control,24,0.8750,0.1911,0.3710,-0.0440,0.4472,Altai / north-Mongolian steppe (Proto-Turkic Urheimat)
