glottocode,language_name,source_dataset,concept,raw_cognate_id,harmonised_cognate_id,form,lat,lon,dist_homeland_km,retention
tagi1241,Tagin,peirosst,MOUNTAIN,55-946,H0070,modi,27.986064,94.221711,1210.372626174659,0
tara1313,Taraon,peirosst,MOUNTAIN,55-4399,H0085,thɨi¹_ja¹,24.4003,94.1703,1511.6038011358826,0
wanc1238,Wancho,peirosst,MOUNTAIN,55-2351,H0086,hahoa,26.2581,94.8936,1304.0843156058888,0
west2409,W. Kayah,peirosst,MOUNTAIN,55-2734,H0087,sho¹¹,18.687,97.4877,1924.2319278583577,0
yimc1240,Yimchunrü,peirosst,MOUNTAIN,55-2734,H0088,mɨzɨŋ,25.7675,94.8087,1351.8111670761573,0
yinb1236,Yeinbaw,peirosst,MOUNTAIN,55-2734,H0089,ʃhvu¹¹,19.0383,97.2134,1896.5082534041449,0
yint1235,Yintale,peirosst,MOUNTAIN,55-2734,H0090,shauw³³,18.9378,97.3368,1902.8341701422619,0
youl1235,Jinuo,peirosst,MOUNTAIN,55-1003,H0091,ɣɨ⁴²_tha⁵⁵,22.0473,101.057,1468.4657729773623,0
zeme1240,Zeme,peirosst,MOUNTAIN,55-1959,H0092,peloa,25.3499,93.6463,1461.7053157246803,0
zhab1238,Zhaba,peirosst,MOUNTAIN,55-24,H0093,pum²¹,30.7416,100.983,550.924197330543,0
acha1249,Burmish_Achang,sagartst,TREE,3396-thetree,H0000,s.a.ŋ.³¹.+.ts.e.ŋ.⁵⁵,24.466605,97.89503,1310.4584507776617,0
amdo1237,Tibetan_Xiahe,sagartst,TREE,134-thetree,H0001,d.o.ŋ._.w.o,35.210549,102.524979,136.2058003698103,0
bahi1252,Kiranti_Bahing,sagartst,TREE,1424-thetree,H0002,d.ɛ.k.s.i,27.309472,86.430334,1873.971761115711,0
bant1281,Kiranti_Bantawa,sagartst,TREE,3396-thetree,H0003,s.ɨ.ŋ,27.117894,87.049995,1833.369668838723,0
beij1235,Sinitic_Beijing,sagartst,TREE,1855-thetree,H0004,j.i.⁵¹.kʰ.ɯ.ɤ.⁵⁵.ʂ.u.⁵¹,39.909056,116.397422,1221.3770908753272,0
boka1249,Tani_Bokar,sagartst,TREE,3396-thetree,H0005,ɯ.+.ɕ.ɯ.ŋ,27.554547,93.15717,1320.3083428062087,0
chao1238,Sinitic_Chaozhou,sagartst,TREE,1855-thetree,H0006,tsʰ.i.u.¹¹,23.657699,116.622317,1754.1158394768415,0
chao1239,Sinitic_Jieyang,sagartst,TREE,1855-thetree,H0006,tsʰ.i.u.¹¹,23.551122,116.373013,1746.4883636899253,0
chep1245,Chepang_Chepang,sagartst,TREE,3396-thetree,H0007,s.i.ŋ.ʔ,27.785164,84.908801,1977.3216098637133,0
clas1254,Tibetan_Old_Tibetan,sagartst,TREE,3396-thetree,H0008,ɕ.i.ŋ,30.027852,91.158704,1323.5200186334196,0
diga1241,Deng_Darang_Taraon,sagartst,TREE,3396-thetree,H0000,m.ɑ.³¹.◦.s.ɯ.ŋ.⁵⁵,28.657986,97.469136,936.5037085239524,0
drun1238,Nungic_Dulong,sagartst,TREE,3396-thetree,H0009,ɕ.i.ŋ.⁵⁵,27.749017,98.691868,950.3989740917336,0
eree1240,Khroskyabs_Wobzi,sagartst,TREE,3396-thetree,H0010,s.æ.pʰ.ô,31.62758,101.427999,444.6359269168338,0
gahr1239,TibetoKinauri_Bunan,sagartst,TREE,156-thetree,H0011,b.u.ʈ.a,32.554766,77.076283,2495.6732125101294,0
garo1247,Garo_Garo,sagartst,TREE,2648-thetree,H0012,b.o.l.b.i.p.a.n.g,25.504744,90.333226,1681.643687723516,0
guan1279,Sinitic_Guangzhou,sagartst,TREE,1855-thetree,H0013,j.ɐ.t.⁵.pʰ.ɔ.⁵³.s.y.²²,23.131111,113.258099,1595.4352623846842,0
haka1240,Chin_Hakha,sagartst,TREE,3396-thetree,H0008,tʰ.î/i.ŋ,22.870089,92.820021,1730.18005941497,0
hakk1236,Sinitic_Longgang,sagartst,TREE,1855-thetree,H0014,s.u.⁵⁵,22.725545,114.243825,1688.2113071871474,0
horp1240,rGyalrong_Daofu,sagartst,TREE,3679-thetree,H0015,l.ə.+.pʰ.u,30.975281,101.123742,521.7054362968274,0
idum1241,Deng_Yidu,sagartst,TREE,3396-thetree,H0016,m.ɑ.⁵⁵.◦.s.e.ŋ.⁵⁵.◦.b.o.ŋ.³⁵,29.448172,95.650179,998.3281775034461,0
japh1234,rGyalrong_Japhug,sagartst,TREE,3396-thetree,H0017,s.i,32.207076,101.957636,363.6022875593547,0
jing1260,Jingpho_Jingpho,sagartst,TREE,2648-thetree,H0018,ph.u.n.⁵⁵,25.461826,97.329866,1238.3367524045464,0
karb1241,Karbi,sagartst,TREE,3396-thetree,H0019,th.e.ng.p.ī,25.735084,93.050494,1469.3887328695669,0
